employee_id,review_date,score,rating,notes
E-1073,2024-07-17,3,需改进,表现稳定
E-2849,2025-12-17,3,优秀,需培训
E-1832,12/18/2024,4.5,需改进,需培训
E-1833,2025-04-18,3,良好,业绩突出
E-1649,2024-06-08,A,合格,表现稳定
E-2278,04/16/2025,4.5,优秀,表现稳定
E-1103,11/08/2024,C,合格,晋升候选
E-1831,05-05-2025,A,良好,业绩突出
E-3404,07/10/2025,3.5,良好,晋升候选
E-1058,04/20/2025,3.5,需改进,表现稳定
E-3424,01/01/2025,C,良好,晋升候选
E-2285,2026-09-15,2.5,合格,晋升候选
E-1442,25-06-2026,2.5,合格,需培训
E-2702,2026-12-20,3.5,合格,业绩突出
E-3375,07/19/2024,C,良好,需培训
E-3014,05/09/2024,4.5,需改进,表现稳定
E-2660,05/17/2026,C,良好,需培训
E-3150,03-03-2026,4.5,需改进,沟通待加强
E-2822,03/09/2025,2.5,优秀,表现稳定
E-2139,2026-03-09,B,合格,需培训
E-1257,2025-07-19,3,良好,表现稳定
E-1029,2026-08-22,4,需改进,晋升候选
E-2959,09/25/2024,C,合格,业绩突出
E-2806,2025-03-10,4.5,良好,需培训
E-2795,2024-07-01,4,合格,表现稳定
E-2678,04/24/2026,3,合格,表现稳定
E-2399,06-11-2026,B,需改进,需培训
E-2394,2024-05-10,B,需改进,晋升候选
E-3019,03/18/2026,4.5,合格,晋升候选
E-2425,2024-03-27,B,优秀,晋升候选
E-2605,09/24/2026,4,良好,晋升候选
E-1218,07/16/2025,4,需改进,表现稳定
E-2691,2025-01-26,2.5,需改进,业绩突出
E-2583,2025-04-03,4,良好,表现稳定
E-2229,2026-10-07,B,良好,晋升候选
E-3370,03/22/2024,B,优秀,沟通待加强
E-3322,04/03/2024,2.5,合格,表现稳定
E-3449,2026-05-25,4,良好,晋升候选
E-2270,2025-10-27,C,需改进,表现稳定
E-2004,12-09-2026,4,优秀,需培训
E-1573,07/24/2024,2.5,需改进,沟通待加强
E-1856,2025-01-12,3,优秀,表现稳定
E-3163,11/16/2024,3.5,合格,需培训
E-1931,02/08/2024,3,良好,表现稳定
E-2920,02-09-2026,A,优秀,需培训
E-1636,2024-03-25,2.5,良好,沟通待加强
E-3410,2026-08-12,4,优秀,沟通待加强
E-2838,12-03-2026,4.5,需改进,需培训
E-2424,08-09-2026,A,优秀,沟通待加强
E-3547,03/07/2025,B,优秀,表现稳定
E-1492,2024-07-25,4.5,合格,沟通待加强
E-1602,27-11-2026,A,优秀,需培训
E-2897,2026-12-19,4,良好,沟通待加强
E-2726,04/12/2024,A,需改进,需培训
E-1158,05/02/2024,3.5,良好,表现稳定
E-2409,10/24/2024,3,优秀,业绩突出
E-1882,2024-05-12,2.5,优秀,需培训
E-1860,05/26/2025,3,需改进,沟通待加强
E-3463,2024-10-11,3,优秀,表现稳定
E-2671,09/16/2025,A,需改进,表现稳定
E-2909,04/16/2025,4,合格,晋升候选
E-1675,2025-07-18,4.5,优秀,业绩突出
E-3318,20-11-2026,3.5,需改进,表现稳定
E-2984,11/14/2024,4.5,需改进,晋升候选
E-1197,12-02-2024,B,需改进,晋升候选
E-2262,2024-09-13,B,需改进,表现稳定
E-2929,2025-08-01,C,优秀,沟通待加强
E-1599,2025-03-21,C,良好,表现稳定
E-2302,03/27/2024,2.5,合格,表现稳定
E-1640,20-10-2025,A,优秀,表现稳定
E-2319,18-06-2026,4.5,优秀,沟通待加强
E-2242,16-12-2024,3,良好,表现稳定
E-2350,01-06-2026,C,合格,表现稳定
E-1174,08/01/2024,C,需改进,表现稳定
E-2116,2024-06-28,3,良好,表现稳定
E-3439,2025-03-23,3.5,需改进,需培训
E-3429,2024-05-11,3,需改进,需培训
E-3269,2026-05-03,3,需改进,表现稳定
E-2891,06/24/2024,3.5,需改进,表现稳定
E-1581,2026-12-22,B,优秀,表现稳定
E-3147,02-04-2025,C,合格,沟通待加强
E-2522,2026-06-21,4.5,需改进,表现稳定
E-2898,09/24/2025,4.5,良好,表现稳定
E-3367,2026-08-03,B,优秀,晋升候选
E-3562,04-01-2026,3.5,合格,表现稳定
E-2817,03/18/2025,3,优秀,表现稳定
E-3548,2026-04-07,3,合格,表现稳定
E-1619,2024-12-12,2.5,合格,需培训
E-2600,11/28/2024,C,良好,表现稳定
E-2107,2026-08-21,3,合格,表现稳定
E-1263,2025-12-18,A,良好,表现稳定
E-3238,2025-06-11,4,需改进,需培训
E-3418,10/28/2025,C,优秀,表现稳定
E-2344,12-09-2025,4,合格,表现稳定
E-1534,24-07-2025,C,需改进,沟通待加强
E-1292,14-10-2024,4.5,需改进,晋升候选
E-1311,2025-10-02,2.5,优秀,表现稳定
E-1886,10/26/2026,3,需改进,表现稳定
E-2221,2026-12-24,B,合格,表现稳定
E-3578,01-03-2024,C,需改进,表现稳定
E-2032,06/07/2025,A,优秀,沟通待加强
E-3496,11/05/2024,4.5,良好,晋升候选
E-3525,10/08/2024,3.5,需改进,沟通待加强
E-1187,03/05/2026,4.5,需改进,需培训
E-3171,2024-08-25,B,合格,表现稳定
E-1400,07/06/2025,4.5,优秀,晋升候选
E-2680,2024-05-22,B,需改进,表现稳定
E-1675,04/05/2026,4.5,良好,表现稳定
E-1949,01-07-2024,A,优秀,表现稳定
E-3411,10-04-2026,3.5,合格,晋升候选
E-2771,11-10-2026,3.5,良好,表现稳定
E-1684,2026-10-08,2.5,良好,表现稳定
E-1258,2024-06-27,3.5,良好,需培训
E-2396,2024-04-16,2.5,良好,晋升候选
