product_id,name,supplier_id,unit_price
M-1000,标准齿轮箱-0,SM-2,"46,249.00"
M-1001,定制泵体-1,SM-25,14709
M-1002,精密齿轮箱-2,SM-15,"9,794.00"
M-1003,工业齿轮箱-3,SM-7,"$39,431.00"
M-1004,精密阀门-4,SM-22,21485
M-1005,工业齿轮箱-5,SM-7,"$28,178.00"
M-1006,工业泵体-6,SM-9,"$72,911.00"
M-1007,标准齿轮箱-7,SM-24,5675
M-1008,定制法兰-8,SM-17,"60,925.00"
M-1009,重型法兰-9,SM-25,"$33,638.00"
M-1010,精密法兰-10,SM-6,25564
M-1011,定制阀门-11,SM-25,45713
M-1012,工业泵体-12,SM-31,"52,971.00"
M-1013,重型阀门-13,SM-24,"$8,188.00"
M-1014,定制泵体-14,SM-40,"$65,365.00"
M-1015,精密法兰-15,SM-40,"$62,480.00"
M-1016,标准轴承座-16,SM-6,63901
M-1017,标准齿轮箱-17,SM-15,5261
M-1018,定制联轴器-18,SM-27,60720
M-1019,重型轴承座-19,SM-22,50538
M-1020,标准泵体-20,SM-33,29914
M-1021,精密法兰-21,SM-40,57620
M-1022,定制阀门-22,SM-21,31713
M-1023,精密齿轮箱-23,SM-20,34140
M-1024,定制法兰-24,SM-32,"$42,212.00"
M-1025,标准联轴器-25,SM-7,67990
M-1026,标准法兰-26,SM-20,49245
M-1027,工业联轴器-27,SM-7,"$16,124.00"
M-1028,标准轴承座-28,SM-26,42123
M-1029,定制泵体-29,SM-3,55624
M-1030,重型阀门-30,SM-31,52862
M-1031,标准齿轮箱-31,SM-27,30779
M-1032,重型联轴器-32,SM-28,"$33,147.00"
M-1033,定制联轴器-33,SM-40,"18,429.00"
M-1034,重型联轴器-34,SM-40,"$70,959.00"
M-1035,标准法兰-35,SM-7,"$38,507.00"
M-1036,标准泵体-36,SM-38,"$66,981.00"
M-1037,精密泵体-37,SM-2,"$49,353.00"
M-1038,定制阀门-38,SM-19,"$7,313.00"
M-1039,精密泵体-39,SM-40,55966
M-1040,精密阀门-0,SM-24,"$14,624.00"
M-1041,工业联轴器-1,SM-6,"$69,522.00"
M-1042,工业泵体-2,SM-38,"29,897.00"
M-1043,定制齿轮箱-3,SM-17,70623
M-1044,定制轴承座-4,SM-29,75449
M-1045,精密轴承座-5,SM-8,"$13,078.00"
M-1046,重型泵体-6,SM-17,"27,845.00"
M-1047,重型法兰-7,SM-29,"$41,796.00"
M-1048,定制法兰-8,SM-29,39343
M-1049,精密泵体-9,SM-27,28376
M-1050,工业阀门-10,SM-22,"$36,294.00"
M-1051,精密法兰-11,SM-13,"61,648.00"
M-1052,标准法兰-12,SM-12,40663
M-1053,定制轴承座-13,SM-37,48786
M-1054,工业法兰-14,SM-32,"73,072.00"
M-1055,工业齿轮箱-15,SM-19,"20,539.00"
M-1056,定制阀门-16,SM-8,"59,665.00"
M-1057,精密法兰-17,SM-9,29503
M-1058,定制齿轮箱-18,SM-23,14360
M-1059,定制泵体-19,SM-29,47656
M-1060,精密轴承座-20,SM-10,13400
M-1061,定制泵体-21,SM-25,"$49,378.00"
M-1062,工业联轴器-22,SM-39,"68,134.00"
M-1063,定制轴承座-23,SM-32,68331
M-1064,重型阀门-24,SM-34,"2,651.00"
M-1065,标准齿轮箱-25,SM-9,4857
M-1066,定制阀门-26,SM-31,"$30,520.00"
M-1067,工业齿轮箱-27,SM-30,"2,797.00"
M-1068,定制阀门-28,SM-28,"$16,430.00"
M-1069,标准阀门-29,SM-31,"$41,016.00"
M-1070,重型阀门-30,SM-8,77598
M-1071,工业联轴器-31,SM-5,"$16,086.00"
M-1072,工业联轴器-32,SM-19,"$42,439.00"
M-1073,定制阀门-33,SM-26,"$13,773.00"
M-1074,精密泵体-34,SM-23,20593
M-1075,标准阀门-35,SM-34,73986
M-1076,标准法兰-36,SM-8,2718
M-1077,标准齿轮箱-37,SM-21,"$74,529.00"
M-1078,重型齿轮箱-38,SM-33,37326
M-1079,精密泵体-39,SM-32,28532
M-1080,工业泵体-0,SM-21,"31,424.00"
M-1081,定制联轴器-1,SM-28,"5,374.00"
M-1082,标准泵体-2,SM-16,"79,816.00"
M-1083,工业齿轮箱-3,SM-29,"$79,986.00"
M-1084,标准齿轮箱-4,SM-21,"$66,258.00"
M-1085,工业齿轮箱-5,SM-2,26736
M-1086,定制联轴器-6,SM-40,26090
M-1087,定制阀门-7,SM-38,"$18,125.00"
M-1088,精密泵体-8,SM-11,75274
M-1089,精密轴承座-9,SM-10,"$65,439.00"
